timestamp_sec,raw_odom_yaw,raw_imu_yaw,ekf_filtered_yaw,raw_odom_w,raw_imu_w,ekf_filtered_w,raw_odom_v,ekf_filtered_v
514.369,1.2341,2.399,2.3989,0.0006,0.0,0.0,0.0,0.0
514.416,1.2341,2.399,2.399,0.0007,0.0,0.0,0.0,0.0
514.473,1.2341,2.399,2.399,-0.0009,0.0,-0.0,0.0,0.0
514.52,1.2341,2.3989,2.399,-0.0007,0.0,-0.0,0.0,0.0
514.566,1.234,2.3989,2.3989,-0.0003,0.0,-0.0,0.0,0.0
514.629,1.2341,2.3989,2.3989,0.0001,0.0,-0.0,0.0,0.0
514.666,1.234,2.3989,2.3989,-0.0002,0.0,-0.0,0.0,0.0
514.725,1.234,2.3989,2.3989,-0.0004,0.0,-0.0,0.0,0.0
514.773,1.2341,2.399,2.3989,0.0016,0.0,0.0,0.0,0.0
514.817,1.2341,2.399,2.3989,-0.0003,0.0,0.0,0.0,0.0
514.867,1.234,2.3989,2.3989,-0.0013,0.0,-0.0,0.0,0.0
514.922,1.2341,2.3989,2.3989,0.0007,0.0,0.0,0.0,0.0
514.966,1.2341,2.399,2.3989,0.0008,0.0,0.0,0.0,0.0
515.023,1.2341,2.399,2.3989,0.0001,0.0,0.0,0.0,0.0
515.067,1.2341,2.3989,2.3989,-0.0013,0.0,-0.0,0.0,0.0
515.115,1.2341,2.399,2.3989,0.0013,0.0,0.0,0.0,0.0
515.175,1.2341,2.399,2.399,0.0005,0.0,0.0,0.0,0.0
515.218,1.234,2.3989,2.3989,-0.003,0.0,-0.0,0.0,0.0
515.267,1.234,2.3989,2.3989,0.0007,0.0,-0.0,0.0,0.0
515.327,1.2341,2.399,2.3989,0.0013,0.0,0.0,0.0,0.0
515.368,1.2341,2.3989,2.3989,-0.0012,0.0,-0.0,0.0,0.0
515.416,1.2341,2.3989,2.3989,0.0002,0.0,-0.0,0.0,0.0
515.475,1.234,2.3989,2.3989,-0.0007,0.0,-0.0,0.0,0.0
515.521,1.2341,2.399,2.3989,0.0014,0.0,0.0,0.0,0.0
515.568,1.2341,2.3989,2.3989,-0.001,0.0,-0.0,0.0,0.0
515.623,1.2341,2.3989,2.3989,0.0001,0.0,-0.0,0.0,0.0
515.67,1.2341,2.399,2.3989,0.0016,0.0,0.0,0.0,0.0
515.716,1.234,2.3989,2.3989,-0.0023,0.0,-0.0,0.0,0.0
515.773,1.234,2.3989,2.3989,-0.0,0.0,-0.0,0.0,0.0
515.822,1.2341,2.399,2.3989,0.0014,0.0,0.0,0.0,0.0
515.866,1.2341,2.3989,2.3989,-0.0014,0.0,-0.0,0.0,0.0
515.925,1.234,2.3989,2.3989,-0.0002,0.0,-0.0,0.0,0.0
515.97,1.2341,2.3989,2.3989,0.0008,0.0,0.0,0.0,0.0
516.018,1.2341,2.3989,2.3989,-0.0001,0.0,0.0,0.0,0.0
516.075,1.2341,2.3989,2.3989,-0.0005,0.0,-0.0,0.0,0.0
